id,mass,GeoLocation,name,class_met,year_seen
1,21,"(50.775000, 6.083330)",Aachen,L5,1880
2,720,"(56.183330, 10.233330)",Aarhus,H6,1951
3,107000,"(54.216670, -113.000000)",Abee,EH4,1952
4,1914,"(16.883330, -99.900000)",Acapulco,Acapulcoite,1976
5,780,"(-33.166670, -64.950000)",Achiras,L6,1902
6,4239,"(32.100000, 71.800000)",Adhi Kot,EH4,1919
7,910,"(44.833330, 95.166670)",Adzhi-Bogdo (stone),LL3-6,1949
8,30000,"(44.216670, 0.616670)",Agen,H5,1814
9,1620,"(-31.600000, -65.233330)",Aguada,L6,1930
10,1440,"(-30.866670, -64.550000)",Aguila Blanca,L,1920
11,1000,"(16.398060, -9.570280)",Aioun el Atrouss,Diogenite-pm,1974
12,24000,"(19.083330, 8.383330)",Aïr,L6,1925
13,,"(50.666670, 2.333330)",Aire-sur-la-Lys,Unknown,1769
14,779,"(29.516670, 35.050000)",Akaba,L6,1949
15,1800,"(29.716670, 77.950000)",Akbarpur,H4,1838
16,3000,"(8.916670, 8.433330)",Akwanga,H,1959
17,50000,"(39.916670, 42.816670)",Akyumak,"Iron, IVA",1981
18,160,"(24.416670, 39.516670)",Al Rais,CR2-an,1957
19,700,"(13.660330, 28.960000)",Al Zarnkh,LL5,2001
20,6000,"(44.116670, 4.083330)",Alais,CI1,1806
21,2000,"(44.650000, 11.016670)",Albareto,L/LL4,1766
22,625,"(2.000000, 22.666670)",Alberta,L,1949
23,252,"(45.821330, 6.015330)",Alby sur Chéran,Eucrite-mmict,2002
24,700,"(51.783330, -1.783330)",Aldsworth,LL5,1835
25,3200,"(36.233330, 37.133330)",Aleppo,L6,1873
26,908,"(44.883330, 8.750000)",Alessandria,H5,1860
27,9251,"(50.950000, 31.816670)",Alexandrovsky,H4,1900
28,228000,"(45.266670, 10.150000)",Alfianello,L6,1883
29,32000,"(42.533330, -85.883330)",Allegan,H5,1899
30,2000000,"(26.966670, -105.316670)",Allende,CV3,1969
31,3950,"(20.745750, 32.412750)",Almahata Sitta,Ureilite-an,2008
32,6000,"(35.273330, 44.215560)",Alta'ameem,LL5,1977
33,6400,"(27.666670, 78.250000)",Ambapur Nagla,H5,1895
34,2700,"(26.583330, 85.566670)",Andhara,Stone-uncl,1880
35,3200,"(44.616670, -70.750000)",Andover,L6,1898
36,600,"(48.700000, 37.500000)",Andreevka,L3,1969
37,17900,"(20.883330, 76.866670)",Andura,H6,1939
38,256.8,"(0.000000, 0.000000)",Northwest Africa 5815,L5,
39,,"(47.466670, -0.550000)",Angers,L6,1822
40,1500,"(-22.966670, -44.316670)",Angra dos Reis (stone),Angrite,1869
41,6500,"(9.533330, 39.716670)",Ankober,H4,1942
42,2500,"(25.150000, 105.183330)",Anlong,H5,1971
43,320,"(40.810560, 140.785560)",Aomori,L6,1984
44,15000,"(53.583330, -2.716670)",Appley Bridge,LL6,1914
45,3200,"(43.866670, 5.383330)",Apt,L6,1803
46,810,"(-33.000000, -66.000000)",Arbol Solo,H5,1954
47,5070,"(38.500000, -94.300000)",Archie,H6,1932
48,7450,"(-31.416670, -60.666670)",Arroyo Aguiar,H5,1950
49,41,"(42.450000, 9.033330)",Asco,H6,1805
50,9500,"(31.805000, -97.010000)",Ash Creek,L6,2009
51,1300,"(52.050000, 0.300000)",Ashdon,L6,1923
